#,minute_id,reference_text,reference_number,reasoning
1,h-tk-20182019-35-8-n1,"de ingediende moties bij het notaoverleg over de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!"" (34834).",34834,"This reference is to the motions submitted during the policy discussion on the initiative note by members Ploumen, Van Gerven, and Ellemeet titled ""Big Farma: niet gezond!"". The document number 34834 is provided, which makes it an explicit reference to a parliamentary document."
2,h-tk-20182019-35-8-n1,"de motie-Moorlag (32813, nr. 257)","32813, nr. 257","This reference is to a specific motion by Moorlag, with the document number 32813 and motion number 257. It is an explicit reference to a parliamentary document."
3,h-tk-20182019-35-8-n1,de volgende stukken van de stand van werkzaamheden af te voeren: 21501-07-1559; 25424-430; 25424-429; 25763-30; 29689-941; 25424-425; 25424-426; 25424-424; 33628-37; 25763-29; 25424-422; 25424-423; 25424-343; 25424-417; 25424-418; 35000-A-28; 31409-199; 29668-49; 34775-XII-76; 31409-198; 31409-196; 31409-192;35059-3; 23645-682; 29984-797; 29984-798; 25268-172; 31016-148; 31016-150; 31016-146; 31016-147; 33561-43; 35103-1; 25087-224;35020-2; 2018Z21641; 34834-5; 29664-191; 32201-92; 29675-192; 2018Z07100; 31409-201; 31409-193 en 34834.,,"This is a list of document numbers proposed to be removed from the agenda. Each number corresponds to a specific parliamentary document, making them explicit references."
4,h-tk-20182019-35-8-n1,de documentaire Verdacht,,"This reference is to the documentary 'Verdacht', which is the basis for the debate request on ethnic profiling by the police. Although not a parliamentary document, it is relevant to the parliamentary discussion."
5,h-tk-20182019-35-8-n1,het programma De Kracht van het verschil,,"This reference is to the program 'De Kracht van het verschil', mentioned in the context of a debate on ethnic profiling. It is relevant to the parliamentary discussion but not a parliamentary document."
6,h-tk-20182019-35-8-n1,het grote helikopterongeluk in Mali in 2015,,"This reference is to an event, the helicopter crash in Mali in 2015, which is the subject of a request for a full investigation report and a debate. It is not a parliamentary document but is relevant to the parliamentary discussion."
7,h-tk-20182019-35-8-n1,het onderzoeksrapport,,"This reference is to the investigation report regarding the helicopter crash in Mali. It is requested to be sent to the parliament, making it a relevant document for parliamentary discussion."
8,h-tk-20182019-35-8-n1,Minister Wiebes houdt cruciale informatie achter over giflek Farmsum,,This reference is to a news headline about Minister Wiebes withholding crucial information regarding a toxic leak in Farmsum. It is the basis for a debate request and is relevant to the parliamentary discussion.
9,h-tk-20182019-35-8-n1,"het SodM, het toezicht",,"This reference is to the Dutch State Supervision of Mines (SodM), which is involved in the oversight of the situation in Farmsum. It is relevant to the parliamentary discussion but not a parliamentary document."
10,h-tk-20182019-64-32,"de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!""",34834,"This reference is to a specific initiative note authored by members Ploumen, Van Gerven, and Ellemeet, titled ""Big Farma: niet gezond!"". The dossier number 34834 is provided, linking it to parliamentary documents."
11,h-tk-20182019-64-32,"de motie-Van den Berg over onderzoek naar biomarkers (34834, nr. 9).","34834, nr. 9","This reference is to a specific motion by Van den Berg concerning research into biomarkers. The dossier number 34834 and motion number 9 are provided, indicating its parliamentary context."
12,h-tk-20182019-64-32,"de gewijzigde motie-Van den Berg (34834, nr. 17, was nr. 9).","34834, nr. 17","This reference is to the amended motion by Van den Berg. It provides both the current motion number 17 and the previous number 9, along with the dossier number 34834, indicating its parliamentary context."
13,h-tk-20012002-4369-4373,de stemmingen in verband met de Rijksoctrooiwet een week uit te stellen (punt 15 en 16 van de agenda). De Kamer heeft daarover een brief ontvangen.,,"This reference is about a proposal to postpone the voting related to the Rijksoctrooiwet. It mentions that the Kamer (parliament) has received a letter about this, indicating a previous communication or document related to the Rijksoctrooiwet."
14,h-tk-20012002-4369-4373,Wijziging van de Opiumwet.,,"This reference is about a proposed change to the Opiumwet (Opium Law), indicating a legislative document or proposal that is scheduled for voting."
15,h-tk-20012002-4369-4373,"de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35)","24691, nr. 35","This is a specific motion (motie) submitted by Feenstra and others concerning the role of the state, identified by the document number 24691, nr. 35."
16,h-tk-20012002-4369-4373,"de motie-Klein Molekamp c.s. over alternatieven van Albrandswaard (24691, nr. 36)","24691, nr. 36","This is a specific motion (motie) submitted by Klein Molekamp and others about alternatives for Albrandswaard, identified by the document number 24691, nr. 36."
17,h-tk-20012002-4369-4373,"de gewijzigde motie-Buijs c.s. over een schaderegeling voor de visserijsector (24691, nr. 44)","24691, nr. 44","This is a specific amended motion (gewijzigde motie) submitted by Buijs and others concerning a compensation scheme for the fisheries sector, identified by the document number 24691, nr. 44."
18,h-tk-20012002-4369-4373,"de motie-Ravestein c.s. over ontsluiting voor de binnenvaart (24691, nr. 39)","24691, nr. 39","This is a specific motion (motie) submitted by Ravestein and others about access for inland navigation, identified by the document number 24691, nr. 39."
19,h-tk-20012002-4369-4373,"de motie-Van der Steenhoven/Van Bommel over 750 ha extra natuur (24691, nr. 40)","24691, nr. 40","This is a specific motion (motie) submitted by Van der Steenhoven and Van Bommel about 750 hectares of additional nature, identified by the document number 24691, nr. 40."
20,h-tk-20012002-4369-4373,"de motie-Van der Steenhoven over gevolgen voor de Noordzeekust en de Waddenzee (24691, nr. 41)","24691, nr. 41","This is a specific motion (motie) submitted by Van der Steenhoven about the consequences for the North Sea coast and the Wadden Sea, identified by the document number 24691, nr. 41."
21,h-tk-20012002-4369-4373,"de motie-Van Bommel/Van der Steenhoven over samenwerking tussen Antwerpen en Rotterdam (24691, nr. 42)","24691, nr. 42","This is a specific motion (motie) submitted by Van Bommel and Van der Steenhoven about cooperation between Antwerp and Rotterdam, identified by the document number 24691, nr. 42."
22,h-tk-20012002-4369-4373,"de motie-Klein Molekamp c.s. over de omvang van het zeereservaat (24691, nr. 43)","24691, nr. 43","This is a specific motion (motie) submitted by Klein Molekamp and others about the size of the sea reserve, identified by the document number 24691, nr. 43."
23,h-tk-20012002-4369-4373,"de wetsvoorstellen Spoorwegwet (27482) en Concessiewet (27216) (punten 3, 4 en 5)","27482, 27216","These are specific legislative proposals (wetsvoorstellen) regarding the Spoorwegwet and Concessiewet, identified by the document numbers 27482 and 27216, respectively."
24,h-tk-20012002-4369-4373,het wetsvoorstel Richtlijn arbeidsovereenkomsten (27661),27661,"This is a specific legislative proposal (wetsvoorstel) concerning the Richtlijn arbeidsovereenkomsten, identified by the document number 27661."
25,h-tk-20012002-4369-4373,het verslag van het algemeen overleg inzake orgaandonaties,,"This reference is about the report of a general consultation (algemeen overleg) on organ donations, indicating a previous parliamentary discussion or document."
26,h-tk-20012002-4369-4373,de donderdag door de minister van Economische Zaken goedgekeurde privatisering van het gasbedrijf Obragas,,"This reference is about the privatization of the gas company Obragas, approved by the Minister of Economic Affairs on Thursday, indicating a recent governmental decision or document."
27,h-tk-20012002-4369-4373,de reactie van de minister-president over alle zegeningen van Paars,,"This reference is about a response from the Prime Minister regarding the achievements of the 'Paars' coalition, indicating a previous communication or document."
28,h-tk-20012002-4369-4373,het wetsvoorstel exploitatie zorginstellingen,,"This reference is about a legislative proposal (wetsvoorstel) concerning the exploitation of healthcare institutions, indicating a specific parliamentary document."
29,h-tk-20012002-4369-4373,de tweede tranche van de vervolguitvoeringstoets van het College bouw ziekenhuisvoorzieningen,,"This reference is about the second tranche of the follow-up implementation test by the College bouw ziekenhuisvoorzieningen, indicating a specific report or document related to hospital care distribution."
30,h-tk-20012002-4369-4373,het wetsvoorstel 27659,27659,"This is a specific legislative proposal (wetsvoorstel) identified by the document number 27659, which has been removed from the agenda pending further information."
31,h-tk-20012002-4369-4373,een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen,,"This reference is about a previously accepted motion requesting the government to send a note, indicating a specific parliamentary request or document."
32,h-tk-20012002-4369-4373,de uitspraak van de rechter in de zaak tegen de Rotterdamse imam,,"This reference is about a court ruling in the case against the Rotterdam imam, indicating a specific legal document or decision."
33,h-tk-20012002-4369-4373,het algemeen overleg over de politie,,"This reference is about a general consultation (algemeen overleg) on the police, indicating a specific parliamentary discussion or document."
34,h-tk-20012002-4369-4373,de schriftelijke vragen gesteld over de opheffing van de kunst- en antiekafdeling bij het Korps landelijke politiediensten,,"This reference is about written questions regarding the dissolution of the art and antiques department at the national police services, indicating a specific parliamentary inquiry or document."
35,h-tk-20012002-4369-4373,het verslag van het algemeen overleg over de UMTS-veiling,,"This reference is about the report of a general consultation (algemeen overleg) on the UMTS auction, indicating a specific parliamentary discussion or document."
36,h-tk-20012002-4369-4373,het voornemen van de ministers Zalm en Hermans om bedrijven te gaan betrekken bij het wegwerken van het lokalentekort in het basisonderwijs en voortgezet onderwijs,,"This reference is about the intention of Ministers Zalm and Hermans to involve companies in addressing the classroom shortage in primary and secondary education, indicating a specific governmental plan or document."
37,h-tk-20012002-4369-4373,"de brief van de minister-president van Marokko aan onze minister-president, waarin de bereidheid is uitgesproken een verdrag af te sluiten met Nederland vóór 1 juli; het betreft het socialezekerheidsverdrag",,"This reference is about a letter from the Prime Minister of Morocco to the Dutch Prime Minister expressing willingness to conclude a social security treaty with the Netherlands before July 1, indicating a specific diplomatic communication."
38,h-tk-20012002-4369-4373,het verslag bij het wetsvoorstel,,"This reference is about the report accompanying a legislative proposal (wetsvoorstel), indicating a specific parliamentary document."
39,h-tk-20012002-4369-4373,"de situatie in het Midden-Oosten, over Israël en Palestina",,"This reference is about the situation in the Middle East, specifically concerning Israel and Palestine, indicating a specific geopolitical issue discussed in parliament."
40,h-tk-20012002-4369-4373,het Srebrenicarapport,,"This reference is about the Srebrenica report, indicating a specific document or report related to the events in Srebrenica."
41,h-tk-20012002-4369-4373,de vergadering van de ministers van Buitenlandse Zaken van de EU,,"This reference is about a meeting of the EU Foreign Ministers, indicating a specific diplomatic event or document."
42,h-tk-20012002-4369-4373,het rapport van de Algemene Rekenkamer in het kader van de ondernemende samenleving,,"This reference is about a report by the Algemene Rekenkamer (Court of Audit) concerning the entrepreneurial society, indicating a specific audit report or document."
43,h-tk-20072008-2932-2933,"wetsvoorstel Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten (31226)",31226,"This is a reference to a specific legislative proposal identified by its dossier number 31226, which involves amendments to the Pension Act and other related laws."
44,h-tk-20072008-2932-2933,"de motie-Luijben over voorstellen om dreigende armoede na het afschaffen van de partnertoeslag te voorkomen (31226, nr. 27)","31226, nr. 27","This is a reference to a specific motion submitted by MP Luijben, identified by its number 27 under dossier 31226, concerning proposals to prevent poverty after the abolition of the partner allowance."
45,h-tk-20072008-2932-2933,"de motie-Luijben over het instellen van een nationaal pensioenfonds (31226, nr. 28)","31226, nr. 28","This is a reference to a specific motion submitted by MP Luijben, identified by its number 28 under dossier 31226, concerning the establishment of a national pension fund."
46,h-tk-20072008-2932-2933,"de motie-Omtzigt/Hamer over het juridische eigendom van pensioenvermogens bij pensioenfondsen en verzekeraars (31226, nr. 29)","31226, nr. 29","This is a reference to a specific motion submitted by MPs Omtzigt and Hamer, identified by its number 29 under dossier 31226, concerning the legal ownership of pension assets at pension funds and insurers."
47,h-tk-20072008-2932-2933,"de motie-Omtzigt over oplossing van de problematiek van waardeoverdracht van pensioenrechten (31226, nr. 30)","31226, nr. 30","This is a reference to a specific motion submitted by MP Omtzigt, identified by its number 30 under dossier 31226, concerning the resolution of issues related to the transfer of pension rights."
48,h-tk-20072008-2932-2933,"het amendement-Blok (stuk nr. 12, I)","stuk nr. 12, I","This is a reference to a specific amendment proposed by MP Blok, identified by its document number 12, part I."
49,h-tk-20072008-2932-2933,"het nader gewijzigde amendement-Hamer/Omtzigt (stuk nr. 33, I)","stuk nr. 33, I","This is a reference to a specific further amended amendment proposed by MPs Hamer and Omtzigt, identified by its document number 33, part I."
50,h-tk-20072008-2932-2933,het amendement-Luijben (stuk nr. 20),stuk nr. 20,"This is a reference to a specific amendment proposed by MP Luijben, identified by its document number 20."
51,h-tk-20072008-2932-2933,het amendement-Blok (stuk nr. 5),stuk nr. 5,"This is a reference to a specific amendment proposed by MP Blok, identified by its document number 5."
52,h-tk-20072008-2932-2933,"het amendement-Luijben (stuk nr. 16, I)","stuk nr. 16, I","This is a reference to a specific amendment proposed by MP Luijben, identified by its document number 16, part I."
53,h-tk-20072008-2932-2933,"het gewijzigde amendement-Blok (stuk nr. 31, I)","stuk nr. 31, I","This is a reference to a specific amended amendment proposed by MP Blok, identified by its document number 31, part I."
54,h-tk-20072008-2932-2933,"het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 32, I)","stuk nr. 32, I","This is a reference to a specific amended amendment proposed by MPs Omtzigt and Hamer, identified by its document number 32, part I."
55,h-tk-20072008-2932-2933,"het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 24, I)","stuk nr. 24, I","This is a reference to a specific amended amendment proposed by MPs Omtzigt and Hamer, identified by its document number 24, part I."
56,h-tk-20072008-2932-2933,"het amendement-Omtzigt/Hamer (stuk nr. 17, I)","stuk nr. 17, I","This is a reference to a specific amendment proposed by MPs Omtzigt and Hamer, identified by its document number 17, part I."
