#,minute_id,reference_text,reference_number,reasoning,zoekterm,hit-at-1-doc,predicted_first_document,hit-at-1-dossier
1,h-tk-20012002-4369-4373,de stemmingen in verband met de Rijksoctrooiwet een week uit te stellen . De Kamer heeft daarover een brief ontvangen.,,"This reference is about a proposal to postpone the voting related to the Rijksoctrooiwet. It mentions that the Kamer  has received a letter about this, indicating a previous communication or document related to the Rijksoctrooiwet.","""Rijksoctrooiwet AND stemming AND brief""",0,kst-28000-XIII-2,0
2,h-tk-20012002-4369-4373,Wijziging van de Opiumwet.,,"This reference is about a proposed change to the Opiumwet , indicating a legislative document or proposal that is scheduled for voting.","""Wijziging Opiumwet AND wetsvoorstel""",0,kst-27874-9,1
3,h-tk-20012002-4369-4373,de motie-Feenstra c.s. over de rol van het Rijk,"24691, nr. 35","This is a specific motion  submitted by Feenstra and others concerning the role of the state, identified by the document number , nr. .","""motie Feenstra rol Rijk""",0,kst-27801-13,0
4,h-tk-20012002-4369-4373,de motie-Klein Molekamp c.s. over alternatieven van Albrandswaard,"24691, nr. 36","This is a specific motion  submitted by Klein Molekamp and others about alternatives for Albrandswaard, identified by the document number , nr. .","""motie Klein Molekamp Albrandswaard""",0,kst-24691-46,1
5,h-tk-20012002-4369-4373,de gewijzigde motie-Buijs c.s. over een schaderegeling voor de visserijsector,"24691, nr. 44","This is a specific amended motion  submitted by Buijs and others concerning a compensation scheme for the fisheries sector, identified by the document number , nr. .",gewijzigde motie-Buijs AND schaderegeling AND visserijsector,0,kst-24691-46,1
6,h-tk-20012002-4369-4373,de motie-Ravestein c.s. over ontsluiting voor de binnenvaart,"24691, nr. 39","This is a specific motion  submitted by Ravestein and others about access for inland navigation, identified by the document number , nr. .","""motie Ravestein ontsluiting binnenvaart""",0,kst-24691-46,1
7,h-tk-20012002-4369-4373,de motie-Van der Steenhoven/Van Bommel over  ha extra natuur,"24691, nr. 40","This is a specific motion  submitted by Van der Steenhoven and Van Bommel about  hectares of additional nature, identified by the document number , nr. .","""motie AND Van der Steenhoven AND Van Bommel AND extra natuur""",0,kst-24691-46,1
8,h-tk-20012002-4369-4373,de motie-Van der Steenhoven over gevolgen voor de Noordzeekust en de Waddenzee,"24691, nr. 41","This is a specific motion  submitted by Van der Steenhoven about the consequences for the North Sea coast and the Wadden Sea, identified by the document number , nr. .","""motie AND Van der Steenhoven AND Noordzeekust AND Waddenzee""",0,kst-26431-48,0
9,h-tk-20012002-4369-4373,de motie-Van Bommel/Van der Steenhoven over samenwerking tussen Antwerpen en Rotterdam,"24691, nr. 42","This is a specific motion  submitted by Van Bommel and Van der Steenhoven about cooperation between Antwerp and Rotterdam, identified by the document number , nr. .","""motie AND Van Bommel AND Van der Steenhoven AND samenwerking AND Antwerpen AND Rotterdam""",0,kst-24691-46,1
10,h-tk-20012002-4369-4373,de motie-Klein Molekamp c.s. over de omvang van het zeereservaat,"24691, nr. 43","This is a specific motion  submitted by Klein Molekamp and others about the size of the sea reserve, identified by the document number , nr. .","""motie Klein Molekamp zeereservaat""",0,kst-24691-46,1
11,h-tk-20012002-4369-4373,de wetsvoorstellen Spoorwegwet  en Concessiewet,"27482, 27216","These are specific legislative proposals  regarding the Spoorwegwet and Concessiewet, identified by the document numbers  and , respectively.","""wetsvoorstel AND (Spoorwegwet OR Concessiewet)""",0,,0
12,h-tk-20012002-4369-4373,het wetsvoorstel Richtlijn arbeidsovereenkomsten,27661,"This is a specific legislative proposal  concerning the Richtlijn arbeidsovereenkomsten, identified by the document number .","""wetsvoorstel AND Richtlijn arbeidsovereenkomsten""",0,kst-28170-5,0
13,h-tk-20012002-4369-4373,het wetsvoorstel exploitatie zorginstellingen,,"This reference is about a legislative proposal  concerning the exploitation of healthcare institutions, indicating a specific parliamentary document.","""wetsvoorstel exploitatie zorginstellingen"" AND ""kamerstuk""",0,kst-28447-3,0
14,h-tk-20012002-4369-4373,het wetsvoorstel,27659,"This is a specific legislative proposal  identified by the document number , which has been removed from the agenda pending further information.",wetsvoorstel AND documentnummer AND agenda AND informatie,0,,0
15,h-tk-20012002-4369-4373,een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen,,"This reference is about a previously accepted motion requesting the government to send a note, indicating a specific parliamentary request or document.","""motie aanvaard AND regering AND notitie""",0,kst-28000-VIII-2,1
16,h-tk-20012002-4369-4373,"de brief van de minister-president van Marokko aan onze minister-president, waarin de bereidheid is uitgesproken een verdrag af te sluiten met Nederland v贸贸r  juli; het betreft het socialezekerheidsverdrag",,"This reference is about a letter from the Prime Minister of Morocco to the Dutch Prime Minister expressing willingness to conclude a social security treaty with the Netherlands before July , indicating a specific diplomatic communication.","""brief AND minister-president AND Marokko AND socialezekerheidsverdrag AND v贸贸r juli""",1,kst-28275-5,1
17,h-tk-20012002-4369-4373,het verslag bij het wetsvoorstel,,"This reference is about the report accompanying a legislative proposal , indicating a specific parliamentary document.","""verslag wetsvoorstel""",0,kst-28447-3,0
18,h-tk-20072008-2932-2933,"wetsvoorstel Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten",31226,"This is a reference to a specific legislative proposal identified by its dossier number , which involves amendments to the Pension Act and other related laws.","""wetsvoorstel NEAR wijzigingen Pensioenwet AND Wet verplichte beroepspensioenregeling""",0,,0
19,h-tk-20072008-2932-2933,de motie-Luijben over voorstellen om dreigende armoede na het afschaffen van de partnertoeslag te voorkomen,"31226, nr. 27","This is a reference to a specific motion submitted by MP Luijben, identified by its number  under dossier , concerning proposals to prevent poverty after the abolition of the partner allowance.","""motie Luijben AND dreigende armoede AND afschaffen partnertoeslag""",1,kst-31226-27,1
20,h-tk-20072008-2932-2933,de motie-Luijben over het instellen van een nationaal pensioenfonds,"31226, nr. 28","This is a reference to a specific motion submitted by MP Luijben, identified by its number  under dossier , concerning the establishment of a national pension fund.","""motie Luijben nationaal pensioenfonds""",1,kst-31226-28,1
21,h-tk-20072008-2932-2933,de motie-Omtzigt/Hamer over het juridische eigendom van pensioenvermogens bij pensioenfondsen en verzekeraars,"31226, nr. 29","This is a reference to a specific motion submitted by MPs Omtzigt and Hamer, identified by its number  under dossier , concerning the legal ownership of pension assets at pension funds and insurers.","""motie Omtzigt Hamer juridische eigendom pensioenvermogens""",1,kst-31226-29,1
22,h-tk-20072008-2932-2933,de motie-Omtzigt over oplossing van de problematiek van waardeoverdracht van pensioenrechten,"31226, nr. 30","This is a reference to a specific motion submitted by MP Omtzigt, identified by its number  under dossier , concerning the resolution of issues related to the transfer of pension rights.","""motie Omtzigt waardeoverdracht pensioenrechten""",1,kst-31226-30,1
23,h-tk-20072008-2932-2933,het amendement-Blok,"stuk nr. 12, I","This is a reference to a specific amendment proposed by MP Blok, identified by its document number , part I.","""amendement Blok AND documentnummer""",0,,0
24,h-tk-20072008-2932-2933,het nader gewijzigde amendement-Hamer/Omtzigt,"stuk nr. 33, I","This is a reference to a specific further amended amendment proposed by MPs Hamer and Omtzigt, identified by its document number , part I.","""nader gewijzigd amendement Hamer Omtzigt"" AND ""amendement""",1,kst-31226-32,1
25,h-tk-20072008-2932-2933,het amendement-Luijben,stuk nr. 20,"This is a reference to a specific amendment proposed by MP Luijben, identified by its document number .","""amendement Luijben"" AND ""dossiernummer""",0,,0
26,h-tk-20072008-2932-2933,het amendement-Blok,stuk nr. 5,"This is a reference to a specific amendment proposed by MP Blok, identified by its document number .","""amendement Blok"" AND ""dossiernummer""",0,,0
27,h-tk-20072008-2932-2933,het amendement-Luijben,"stuk nr. 16, I","This is a reference to a specific amendment proposed by MP Luijben, identified by its document number , part I.","""amendement Luijben"" AND ""documentnummer""",0,,0
28,h-tk-20072008-2932-2933,het gewijzigde amendement-Blok,"stuk nr. 31, I","This is a reference to a specific amended amendment proposed by MP Blok, identified by its document number , part I.","""gewijzigde amendement Blok"" AND ""amendement""",0,kst-31205-58,0
29,h-tk-20072008-2932-2933,het gewijzigde amendement-Omtzigt/Hamer,"stuk nr. 32, I","This is a reference to a specific amended amendment proposed by MPs Omtzigt and Hamer, identified by its document number , part I.","""gewijzigd amendement Omtzigt Hamer"" AND ""dossiernummer""",0,,0
30,h-tk-20072008-2932-2933,het gewijzigde amendement-Omtzigt/Hamer,"stuk nr. 24, I","This is a reference to a specific amended amendment proposed by MPs Omtzigt and Hamer, identified by its document number , part I.","""gewijzigd amendement Omtzigt Hamer"" AND ""dossiernummer""",0,,0
31,h-tk-20072008-2932-2933,het amendement-Omtzigt/Hamer,"stuk nr. 17, I","This is a reference to a specific amendment proposed by MPs Omtzigt and Hamer, identified by its document number , part I.",amendement Omtzigt Hamer AND dossiernummer,0,,0
32,h-tk-20182019-35-8-n1,"de ingediende moties bij het notaoverleg over de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!"" .",34834,"This reference is to the motions submitted during the policy discussion on the initiative note by members Ploumen, Van Gerven, and Ellemeet titled ""Big Farma: niet gezond!"". The document number  is provided, which makes it an explicit reference to a parliamentary document.","""moties AND notaoverleg AND initiatiefnota AND Ploumen AND Van Gerven AND Ellemeet AND Big Farma: niet gezond!""",1,kst-34834-16,1
33,h-tk-20182019-35-8-n1,de motie-Moorlag,"32813, nr. 257","This reference is to a specific motion by Moorlag, with the document number  and motion number . It is an explicit reference to a parliamentary document.","""motie Moorlag""",0,kst-35000-A-80,0
34,h-tk-20182019-64-32,"de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!""",34834,"This reference is to a specific initiative note authored by members Ploumen, Van Gerven, and Ellemeet, titled ""Big Farma: niet gezond!"". The dossier number  is provided, linking it to parliamentary documents.","""initiatiefnota Ploumen AND Van Gerven AND Ellemeet AND Big Farma""",0,kst-34834-16,1
35,h-tk-20182019-64-32,de motie-Van den Berg over onderzoek naar biomarkers .,"34834, nr. 9","This reference is to a specific motion by Van den Berg concerning research into biomarkers. The dossier number  and motion number  are provided, indicating its parliamentary context.","""motie AND Van den Berg AND biomarkers""",0,kst-34834-16,1
36,h-tk-20182019-64-32,de gewijzigde motie-Van den Berg .,"34834, nr. 17","This reference is to the amended motion by Van den Berg. It provides both the current motion number  and the previous number , along with the dossier number , indicating its parliamentary context.","""gewijzigde motie-Van den Berg AND dossiernummer""",0,,0
